                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0136,                 4.2408,                  1.441,                0.03416,                0.88782,                0.17823,                0.13443,                0.86926,                 3.3429,                 1.3153,             0.00010983,             0.00010983,             0.00010983
                      2,                0.88062,                 3.4604,                 1.3488,                0.29847,                0.62822,                0.41146,                0.32411,                 0.8399,                 2.4758,                 1.3228,             0.00021865,             0.00021865,             0.00021865
                      3,                0.88719,                 2.9606,                 1.3478,                0.44909,                0.61523,                0.54095,                0.42397,                0.84556,                 2.8396,                 1.3557,             0.00032526,             0.00032526,             0.00032526
                      4,                0.86296,                 2.6477,                 1.3036,                0.49071,                 0.7246,                 0.6899,                0.52174,                 1.0105,                 1.7503,                 1.4262,             0.00032311,             0.00032311,             0.00032311
                      5,                0.83935,                  2.341,                 1.2801,                0.65391,                0.71177,                0.76049,                0.61249,                0.88173,                 1.4925,                 1.3316,             0.00032311,             0.00032311,             0.00032311
                      6,                0.83366,                 2.1357,                 1.2613,                0.65674,                0.76798,                0.81132,                0.65818,                0.81119,                 1.3984,                  1.273,             0.00031981,             0.00031981,             0.00031981
                      7,                0.80094,                 1.9389,                   1.23,                0.79516,                0.71893,                0.82847,                0.63629,                0.93781,                 1.3737,                  1.377,             0.00031652,             0.00031652,             0.00031652
                      8,                 0.7761,                 1.7942,                 1.2151,                0.82884,                0.68854,                0.83357,                0.64305,                0.98512,                 1.2379,                 1.3935,             0.00031322,             0.00031322,             0.00031322
                      9,                0.76467,                 1.6943,                 1.1994,                0.81663,                0.80833,                0.88878,                0.70883,                0.89186,                 1.0523,                  1.294,             0.00030992,             0.00030992,             0.00030992
                     10,                0.75514,                 1.6182,                 1.1925,                0.71218,                0.85404,                0.88797,                0.72663,                0.81861,                 1.1146,                 1.2389,             0.00030663,             0.00030663,             0.00030663
                     11,                 0.7259,                 1.5276,                 1.1801,                0.86117,                0.78874,                0.91083,                0.74445,                0.78243,                0.92078,                 1.2109,             0.00030333,             0.00030333,             0.00030333
                     12,                0.73876,                 1.4659,                 1.1779,                 0.8319,                0.85325,                0.92811,                0.74181,                 0.8697,                0.93606,                 1.3007,             0.00030003,             0.00030003,             0.00030003
                     13,                0.72971,                 1.4126,                 1.1742,                0.78437,                0.79905,                0.89708,                0.72428,                0.83045,                0.99994,                 1.2485,             0.00029674,             0.00029674,             0.00029674
                     14,                0.72323,                 1.3915,                 1.1764,                 0.8468,                0.79311,                0.91138,                0.68321,                 1.0342,                  1.074,                 1.4453,             0.00029344,             0.00029344,             0.00029344
                     15,                0.72091,                 1.3485,                 1.1673,                0.85711,                0.81668,                0.91443,                0.71538,                0.91733,                0.87629,                 1.3334,             0.00029014,             0.00029014,             0.00029014
                     16,                0.71446,                 1.2739,                 1.1661,                0.81382,                0.84361,                0.89547,                0.75437,                0.75885,                 0.9006,                 1.1918,             0.00028685,             0.00028685,             0.00028685
                     17,                0.71555,                  1.218,                 1.1642,                0.85051,                0.88428,                0.94594,                 0.7498,                0.89782,                0.73453,                 1.2915,             0.00028355,             0.00028355,             0.00028355
                     18,                0.70056,                  1.171,                 1.1491,                0.83833,                0.81518,                0.89704,                0.72072,                0.86115,                0.91935,                  1.251,             0.00028025,             0.00028025,             0.00028025
                     19,                0.68436,                 1.1479,                 1.1429,                0.88984,                0.80227,                0.93662,                0.74021,                0.91901,                0.79469,                 1.2973,             0.00027696,             0.00027696,             0.00027696
                     20,                0.68973,                 1.1597,                 1.1409,                0.90791,                0.85415,                0.94194,                0.76022,                0.84591,                0.74146,                 1.2755,             0.00027366,             0.00027366,             0.00027366
                     21,                0.67871,                 1.1067,                 1.1391,                0.88597,                0.83651,                0.92969,                0.73897,                0.89501,                0.81132,                 1.3068,             0.00027036,             0.00027036,             0.00027036
                     22,                0.68352,                 1.0965,                 1.1418,                0.80541,                0.88314,                0.91939,                0.70315,                0.98491,                0.82274,                 1.3791,             0.00026707,             0.00026707,             0.00026707
                     23,                0.68744,                 1.0376,                 1.1362,                0.88939,                0.80462,                0.91442,                0.71703,                0.91549,                0.83159,                 1.3132,             0.00026377,             0.00026377,             0.00026377
                     24,                0.66849,                 1.0285,                 1.1356,                0.85362,                0.85818,                0.93118,                0.75923,                0.85159,                0.73682,                 1.2606,             0.00026047,             0.00026047,             0.00026047
                     25,                0.67304,                 1.0167,                 1.1284,                0.87413,                0.89771,                0.94237,                0.76146,                0.88239,                0.75552,                 1.3077,             0.00025718,             0.00025718,             0.00025718
                     26,                0.64508,                0.97078,                 1.1153,                0.84859,                0.90412,                0.92176,                0.72435,                0.91697,                0.78172,                 1.3302,             0.00025388,             0.00025388,             0.00025388
                     27,                0.65321,                0.95461,                 1.1227,                0.87386,                0.90171,                0.94951,                 0.7415,                0.97275,                0.67583,                 1.3473,             0.00025058,             0.00025058,             0.00025058
                     28,                0.64444,                0.94276,                 1.1143,                0.89532,                0.83905,                0.92099,                0.72664,                 0.9637,                0.78052,                 1.3756,             0.00024729,             0.00024729,             0.00024729
                     29,                0.65115,                0.93028,                 1.1119,                0.88252,                 0.8435,                0.93736,                0.74827,                 0.8876,                 0.7272,                 1.2866,             0.00024399,             0.00024399,             0.00024399
                     30,                 0.6612,                0.91308,                 1.1298,                0.90626,                0.88397,                0.96432,                0.77558,                0.87302,                 0.6439,                 1.2756,             0.00024069,             0.00024069,             0.00024069
                     31,                 0.6511,                0.89662,                 1.1128,                0.88207,                0.88224,                0.95398,                0.76844,                0.85999,                0.66239,                 1.2722,              0.0002374,              0.0002374,              0.0002374
                     32,                0.64426,                0.85747,                 1.1044,                0.83478,                0.87557,                0.92729,                0.77251,                0.79465,                0.69428,                 1.1973,              0.0002341,              0.0002341,              0.0002341
                     33,                0.63512,                0.86272,                 1.1151,                0.93242,                0.89448,                0.96823,                0.76865,                0.92566,                0.63393,                  1.311,              0.0002308,              0.0002308,              0.0002308
                     34,                0.63789,                0.85561,                 1.0998,                0.87903,                0.84951,                0.92722,                0.76949,                0.81076,                0.69694,                 1.2461,             0.00022751,             0.00022751,             0.00022751
                     35,                0.63193,                0.84398,                 1.0986,                  0.902,                0.84456,                0.93652,                0.76338,                0.80449,                0.72533,                 1.2253,             0.00022421,             0.00022421,             0.00022421
                     36,                0.63196,                0.81428,                 1.1024,                0.86236,                0.85465,                0.93542,                 0.7524,                0.87093,                0.79745,                 1.2995,             0.00022091,             0.00022091,             0.00022091
                     37,                0.61731,                0.79847,                 1.1003,                0.91447,                0.86278,                0.93993,                0.76323,                0.85712,                0.70398,                 1.2754,             0.00021762,             0.00021762,             0.00021762
                     38,                0.62477,                0.80165,                 1.1015,                0.89742,                0.84413,                0.93961,                0.78405,                0.79456,                 0.6668,                 1.2219,             0.00021432,             0.00021432,             0.00021432
                     39,                0.61416,                0.78536,                 1.0941,                   0.88,                0.84031,                0.93629,                0.75754,                0.85408,                 0.7349,                 1.2538,             0.00021102,             0.00021102,             0.00021102
                     40,                0.61763,                0.78521,                 1.0903,                0.84832,                0.89546,                0.94798,                0.78127,                0.80773,                0.63697,                 1.2363,             0.00020773,             0.00020773,             0.00020773
                     41,                0.61986,                0.79443,                 1.0927,                0.86772,                0.86241,                0.93899,                 0.7768,                0.79765,                0.68638,                 1.2151,             0.00020443,             0.00020443,             0.00020443
                     42,                0.60367,                 0.7597,                 1.0865,                  0.908,                0.83486,                0.93748,                0.75595,                0.84193,                0.70653,                 1.2924,             0.00020113,             0.00020113,             0.00020113
