                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0774,                 4.5651,                 1.6213,                0.03421,                0.85989,                 0.1486,                0.10974,                0.84646,                 3.6063,                 1.4569,             0.00010983,             0.00010983,             0.00010983
                      2,                0.91067,                 3.8007,                 1.4702,                0.43132,                0.39317,                0.43805,                0.35238,                 0.9243,                 2.8087,                 1.5183,             0.00021974,             0.00021974,             0.00021974
                      3,                0.90523,                 3.3001,                 1.4642,                0.38213,                0.59867,                0.51092,                0.36795,                 1.0752,                 2.6812,                 1.7408,             0.00032855,             0.00032855,             0.00032855
                      4,                0.88745,                 2.9193,                 1.4207,                0.49268,                0.61448,                 0.6315,                0.45113,                 1.1184,                 2.1933,                 1.6917,             0.00032805,             0.00032805,             0.00032805
                      5,                0.86598,                 2.6279,                  1.394,                0.56571,                0.74934,                 0.7399,                0.57247,                 0.9191,                 1.7147,                 1.5046,             0.00032805,             0.00032805,             0.00032805
                      6,                0.84246,                 2.3797,                 1.3621,                0.65871,                0.70021,                0.79077,                0.60173,                0.99355,                 1.5485,                 1.5428,             0.00032641,             0.00032641,             0.00032641
                      7,                0.81929,                  2.178,                 1.3405,                0.66016,                0.75172,                0.80947,                0.62258,                0.93985,                 1.4423,                 1.5226,             0.00032476,             0.00032476,             0.00032476
                      8,                0.78979,                 2.0149,                 1.3175,                 0.7653,                0.73322,                0.84607,                0.62703,                 1.0893,                 1.4079,                  1.659,             0.00032311,             0.00032311,             0.00032311
                      9,                 0.7883,                 1.9069,                 1.3034,                0.82279,                0.73213,                0.84382,                0.63118,                 1.0003,                 1.3302,                 1.5746,             0.00032146,             0.00032146,             0.00032146
                     10,                0.78308,                 1.7997,                 1.3015,                0.77488,                0.82838,                0.88347,                0.70422,                0.85471,                 1.1288,                 1.3967,             0.00031981,             0.00031981,             0.00031981
                     11,                0.74827,                 1.6907,                 1.2833,                0.79443,                0.82243,                0.90121,                0.69668,                0.96003,                 1.0422,                 1.5174,             0.00031816,             0.00031816,             0.00031816
                     12,                0.75788,                 1.6121,                 1.2842,                0.76486,                0.80463,                0.88838,                0.69636,                0.91736,                 1.0268,                 1.5132,             0.00031652,             0.00031652,             0.00031652
                     13,                0.74844,                 1.5617,                 1.2661,                0.77546,                0.80913,                0.89123,                 0.7052,                0.92619,                 1.0169,                 1.4708,             0.00031487,             0.00031487,             0.00031487
                     14,                0.74095,                 1.5111,                 1.2722,                0.79258,                0.86961,                0.91369,                0.67608,                 1.0808,                 1.0126,                 1.7106,             0.00031322,             0.00031322,             0.00031322
                     15,                0.74158,                 1.4632,                 1.2636,                0.83985,                0.81486,                0.90962,                 0.7486,                0.79324,                0.85487,                  1.349,             0.00031157,             0.00031157,             0.00031157
                     16,                0.72862,                 1.4067,                 1.2543,                0.82774,                0.81757,                0.90206,                 0.7245,                0.88262,                0.94488,                 1.4467,             0.00030992,             0.00030992,             0.00030992
                     17,                0.74843,                 1.3617,                 1.2718,                0.75899,                0.83486,                0.90295,                0.72284,                0.85905,                0.98813,                 1.3887,             0.00030827,             0.00030827,             0.00030827
                     18,                0.71537,                 1.2965,                 1.2386,                0.87645,                0.80484,                0.92058,                0.70194,                 0.9873,                0.89318,                 1.5364,             0.00030663,             0.00030663,             0.00030663
                     19,                0.71613,                 1.2775,                 1.2339,                0.86963,                0.85084,                0.92378,                0.72597,                0.90375,                 0.7944,                 1.4618,             0.00030498,             0.00030498,             0.00030498
                     20,                0.71071,                 1.2538,                 1.2338,                0.86296,                0.82316,                 0.9319,                0.72159,                0.94362,                0.79969,                 1.5105,             0.00030333,             0.00030333,             0.00030333
                     21,                0.69767,                 1.1856,                 1.2246,                0.86106,                0.83513,                0.92163,                0.72261,                0.90964,                 0.8293,                 1.4522,             0.00030168,             0.00030168,             0.00030168
                     22,                0.70602,                 1.1801,                 1.2299,                0.88323,                0.86142,                0.94698,                 0.7667,                0.85569,                0.72187,                 1.4087,             0.00030003,             0.00030003,             0.00030003
                     23,                0.69583,                 1.1258,                  1.212,                0.90723,                0.79783,                0.92198,                0.71185,                0.95793,                0.79521,                 1.5423,             0.00029838,             0.00029838,             0.00029838
                     24,                0.69395,                 1.1124,                 1.2207,                0.94236,                0.80803,                0.94169,                0.76264,                0.82845,                0.72968,                 1.4341,             0.00029674,             0.00029674,             0.00029674
                     25,                0.68168,                 1.0847,                 1.2131,                0.89394,                0.85561,                0.93852,                0.69342,                 1.1083,                0.74058,                 1.6968,             0.00029509,             0.00029509,             0.00029509
                     26,                0.67427,                  1.015,                 1.2037,                 0.8567,                0.81688,                0.92042,                0.74336,                0.85703,                0.82234,                  1.409,             0.00029344,             0.00029344,             0.00029344
                     27,                0.66327,                 1.0314,                  1.196,                0.86975,                0.84377,                 0.9308,                 0.7288,                0.94157,                0.77817,                 1.5079,             0.00029179,             0.00029179,             0.00029179
                     28,                0.67108,                 1.0282,                  1.205,                0.91861,                0.84765,                0.94758,                0.71677,                 1.0312,                0.74213,                 1.5988,             0.00029014,             0.00029014,             0.00029014
                     29,                0.67248,                 1.0025,                 1.1976,                0.86375,                0.85854,                0.93288,                0.72845,                0.97661,                 0.7824,                 1.5305,             0.00028849,             0.00028849,             0.00028849
                     30,                0.68211,                0.97812,                 1.2128,                0.89534,                0.84118,                0.95289,                0.73352,                0.94812,                 0.6905,                 1.4893,             0.00028685,             0.00028685,             0.00028685
                     31,                0.66611,                0.95481,                 1.1923,                0.84483,                0.83302,                0.92886,                0.76898,                0.77321,                0.69177,                 1.3485,              0.0002852,              0.0002852,              0.0002852
                     32,                0.65817,                 0.9336,                 1.1839,                0.86418,                0.86879,                0.94222,                0.73338,                 0.9452,                0.72442,                 1.5321,             0.00028355,             0.00028355,             0.00028355
                     33,                0.65802,                0.93369,                 1.1978,                 0.9118,                0.89198,                0.95858,                0.72811,                 1.0205,                0.65788,                 1.6361,              0.0002819,              0.0002819,              0.0002819
                     34,                0.65711,                 0.9171,                  1.188,                0.92362,                0.81351,                0.94002,                  0.756,                0.83925,                0.75843,                 1.4177,             0.00028025,             0.00028025,             0.00028025
                     35,                0.65023,                 0.9165,                 1.1813,                0.89825,                0.82873,                 0.9415,                 0.7397,                0.90806,                0.74171,                 1.5071,              0.0002786,              0.0002786,              0.0002786
                     36,                0.65383,                0.88248,                 1.1833,                0.84202,                0.88709,                0.93812,                0.75876,                0.86153,                0.73672,                 1.4395,             0.00027696,             0.00027696,             0.00027696
                     37,                 0.6495,                0.86345,                 1.1827,                0.90635,                0.84257,                0.94321,                0.75022,                0.91321,                 0.7756,                 1.5003,             0.00027531,             0.00027531,             0.00027531
                     38,                0.64142,                0.86998,                 1.1738,                0.90602,                0.87425,                0.94724,                0.75158,                0.91968,                 0.6529,                 1.5086,             0.00027366,             0.00027366,             0.00027366
                     39,                0.64003,                0.86205,                 1.1749,                0.91812,                0.85256,                0.94769,                0.75282,                0.91888,                0.67729,                 1.5032,             0.00027201,             0.00027201,             0.00027201
                     40,                0.63491,                0.85813,                 1.1719,                0.88898,                0.82493,                0.93768,                0.70286,                 1.0233,                0.71688,                 1.6484,             0.00027036,             0.00027036,             0.00027036
                     41,                0.64279,                0.84871,                 1.1795,                0.90022,                0.83467,                0.93322,                0.73861,                0.92612,                0.69971,                 1.5235,             0.00026871,             0.00026871,             0.00026871
                     42,                0.61375,                0.81158,                 1.1574,                0.89472,                0.82548,                0.92008,                0.73367,                0.87976,                0.72658,                 1.4633,             0.00026707,             0.00026707,             0.00026707
                     43,                0.63226,                0.82247,                 1.1739,                0.89255,                0.85013,                 0.9376,                0.73653,                0.94193,                0.72338,                  1.524,             0.00026542,             0.00026542,             0.00026542
                     44,                0.63802,                0.83478,                 1.1764,                0.91286,                0.88489,                0.95516,                0.75642,                0.87065,                0.63769,                 1.4512,             0.00026377,             0.00026377,             0.00026377
                     45,                 0.6416,                0.81033,                  1.173,                0.90991,                0.88793,                0.95313,                0.75012,                0.91385,                0.58579,                 1.4912,             0.00026212,             0.00026212,             0.00026212
                     46,                 0.6258,                0.79651,                 1.1709,                0.92893,                0.86385,                0.95452,                0.76771,                0.87467,                0.62916,                 1.4622,             0.00026047,             0.00026047,             0.00026047
                     47,                0.62574,                0.76827,                 1.1683,                0.91354,                0.82982,                0.94762,                0.75767,                0.89761,                  0.642,                 1.4945,             0.00025882,             0.00025882,             0.00025882
                     48,                0.61268,                0.77032,                 1.1643,                0.93322,                0.83838,                0.93515,                 0.7435,                0.91759,                0.66792,                 1.4869,             0.00025718,             0.00025718,             0.00025718
                     49,                0.62927,                0.77009,                 1.1591,                0.91843,                0.86638,                0.94447,                0.75822,                0.90503,                0.64338,                 1.4744,             0.00025553,             0.00025553,             0.00025553
                     50,                0.61652,                0.75314,                 1.1608,                0.90163,                0.86362,                0.94168,                0.75142,                 0.8603,                0.66382,                  1.466,             0.00025388,             0.00025388,             0.00025388
                     51,                0.62044,                0.71974,                  1.163,                 0.8855,                0.85269,                0.94287,                0.72125,                 1.0149,                0.67018,                 1.6224,             0.00025223,             0.00025223,             0.00025223
                     52,                0.61234,                0.73297,                 1.1533,                0.93589,                0.86881,                0.94975,                0.74838,                0.89613,                0.61158,                  1.481,             0.00025058,             0.00025058,             0.00025058
                     53,                0.61222,                0.72765,                  1.149,                0.91859,                0.88827,                0.95748,                0.74908,                0.91225,                0.57848,                 1.4996,             0.00024893,             0.00024893,             0.00024893
                     54,                0.59969,                0.71503,                 1.1423,                0.92394,                 0.8696,                0.94909,                0.74797,                0.90476,                0.61292,                 1.4772,             0.00024729,             0.00024729,             0.00024729
                     55,                0.60174,                0.71298,                 1.1445,                0.92932,                0.86076,                0.95629,                0.76033,                 0.8879,                0.64657,                 1.4558,             0.00024564,             0.00024564,             0.00024564
                     56,                0.60991,                0.72775,                 1.1485,                0.87818,                0.88755,                0.95225,                 0.7681,                0.83092,                0.63999,                 1.4069,             0.00024399,             0.00024399,             0.00024399
                     57,                0.60839,                0.70344,                 1.1527,                0.92613,                0.83152,                0.94582,                0.74788,                0.93827,                0.65686,                 1.5396,             0.00024234,             0.00024234,             0.00024234
                     58,                0.60171,                0.70069,                  1.155,                0.91444,                 0.8902,                0.94815,                0.75357,                0.90736,                0.59004,                 1.4763,             0.00024069,             0.00024069,             0.00024069
                     59,                0.59852,                0.69016,                 1.1456,                0.89864,                0.85439,                0.92245,                0.73061,                0.90654,                0.66941,                 1.4681,             0.00023904,             0.00023904,             0.00023904
                     60,                0.58541,                0.69751,                 1.1413,                0.93481,                0.86623,                0.95789,                0.77003,                0.86386,                0.57816,                 1.4583,              0.0002374,              0.0002374,              0.0002374
                     61,                0.58551,                0.67396,                 1.1329,                0.91465,                0.88374,                0.96676,                0.75544,                0.93363,                0.57483,                 1.5276,             0.00023575,             0.00023575,             0.00023575
                     62,                0.59328,                0.67644,                 1.1351,                0.88886,                0.89616,                0.95231,                0.75394,                 0.9419,                0.65525,                 1.5243,              0.0002341,              0.0002341,              0.0002341
